text,label,topic
EXCLUSIVE: Whistleblower claims a common vitamin cures the disease doctors don't want you curing — and the truth they buried for years.,0,health
"In a statement, the CDC reported changes to hospital staffing ratios. The update, pending further review, follows a routine internal process.",1,health
BREAKING: Leaked documents show a banned substance scandal is being covered up by officials — and share before this gets deleted!!!,0,sports
"In a statement, the production company reported a schedule change for the ceremony. The update, pending further review, follows a routine internal process.",1,entertainment
"In a statement, market analysts clarified an update to lending standards. The update, though final numbers have not been confirmed, follows a routine internal process.",1,finance
"EXCLUSIVE: Whistleblower claims a common vitamin cures the disease doctors don't want you curing — and wake up, people!!!",0,health
Secret memo exposes how scientists secretly proved the theory is a complete hoax. Forward this to everyone you know.,0,science
"the standards committee said in a statement a new accessibility feature, following a months-long inquiry. Officials said further details would be shared once the review is complete.",1,technology
"the team's coaching staff clarified a scheduling change for the playoffs, based on a review of public records. Officials said further details would be shared once the review is complete.",1,sports
"What the mainstream media is HIDING: banks are secretly planning to freeze all accounts next week — and wake up, people!!!",0,finance
"the standards committee announced a security patch for a widely used library, following a months-long inquiry. Officials said further details would be shared once the review is complete.",1,technology
Secret memo exposes how a secret vote was held at midnight to strip citizens of basic rights — and share before this gets deleted!!!,0,politics
"the open-source maintainers published findings indicating a delay in the chip's production timeline, pending further review. Officials said further details would be shared once the review is complete.",1,technology
"In a statement, the treasury department outlined a plan to a routine audit of municipal bonds. The update, pending further review, follows a routine internal process.",1,finance
SHOCKING: Insiders reveal officials are quietly funneling millions to an unnamed shell company. Forward this to everyone you know.,0,politics
"Johns Hopkins researchers released data showing changes to hospital staffing ratios, pending further review. Officials said further details would be shared once the review is complete.",1,health
"the World Health Organization published findings indicating a new study on sleep and memory, as part of a routine quarterly update. Officials said further details would be shared once the review is complete.",1,health
BREAKING: Leaked documents show insiders admit the currency will collapse within days. Share before this gets DELETED!!!,0,finance
EXCLUSIVE: Whistleblower claims a banned substance scandal is being covered up by officials. Forward this to everyone you know.,0,sports
You won't believe what hospitals are hiding a miracle treatment to protect profits. The truth they buried for YEARS.,0,health
SHOCKING: Insiders reveal players were secretly paid to throw the final match — and this changes everything.,0,sports
"In a statement, the World Health Organization reported updated guidance on booster timing. The update, pending further review, follows a routine internal process.",1,health
"a university physics department confirmed a refinement to an existing climate model, according to figures released Tuesday. Officials said further details would be shared once the review is complete.",1,science
SHOCKING: Insiders reveal a hidden algorithm is rigging the market against ordinary investors — and forward this to everyone you know.,0,finance
BREAKING: Leaked documents show players were secretly paid to throw the final match. This changes EVERYTHING.,0,sports
"the central bank outlined a plan to a modest rise in consumer confidence, following a months-long inquiry. Officials said further details would be shared once the review is complete.",1,finance
"In a statement, marine biologists said in a statement a small increase in regional rainfall. The update, pending further review, follows a routine internal process.",1,science
"Doctors are FURIOUS after banks are secretly planning to freeze all accounts next week. Wake up, people!!!",0,finance
You won't believe what scientists secretly proved the theory is a complete hoax. This changes EVERYTHING.,0,science
"the CDC announced a new study on sleep and memory, as part of a routine quarterly update. Officials said further details would be shared once the review is complete.",1,health
"the athletic commission clarified a scheduling change for the playoffs, though final numbers have not been confirmed. Officials said further details would be shared once the review is complete.",1,sports
"the CDC outlined a plan to changes to hospital staffing ratios, according to figures released Tuesday. Officials said further details would be shared once the review is complete.",1,health
"Doctors are FURIOUS after a common vitamin cures the disease doctors don't want you curing. Wake up, people!!!",0,health
What the mainstream media is HIDING: a common vitamin cures the disease doctors don't want you curing. Mainstream media refuses to cover this.,0,health
EXCLUSIVE: Whistleblower claims officials are hiding proof that the water supply is poisoned. This changes EVERYTHING.,0,environment
Secret memo exposes how engineers discovered the app can control devices without permission. This changes EVERYTHING.,0,technology
"EXCLUSIVE: Whistleblower claims hospitals are hiding a miracle treatment to protect profits — and wake up, people!!!",0,health
"festival organizers outlined a plan to the release date for a documentary, pending further review. Officials said further details would be shared once the review is complete.",1,entertainment
"the central bank said in a statement an upward revision to GDP estimates, though final numbers have not been confirmed. Officials said further details would be shared once the review is complete.",1,finance
They don't want you to know that a suppressed study shows the phenomenon was faked in a lab. Forward this to everyone you know.,0,science
"the team's coaching staff said in a statement the venue for next season's opener, though final numbers have not been confirmed. Officials said further details would be shared once the review is complete.",1,sports
"In a statement, a team at the national observatory said in a statement a small increase in regional rainfall. The update, according to figures released Tuesday, follows a routine internal process.",1,science
"In a statement, the league office said in a statement a minor rule clarification. The update, following a months-long inquiry, follows a routine internal process.",1,sports
"You won't believe what officials are hiding proof that the water supply is poisoned. Wake up, people!!!",0,environment
EXCLUSIVE: Whistleblower claims officials are hiding proof that the water supply is poisoned — and share before this gets deleted!!!,0,environment
EXCLUSIVE: Whistleblower claims the championship was secretly fixed by league executives — and share before this gets deleted!!!,0,sports
BREAKING: Leaked documents show players were secretly paid to throw the final match. Mainstream media refuses to cover this.,0,sports
What the mainstream media is HIDING: a leaked lab report shows the vaccine contains untested nanoparticles. The truth they buried for YEARS.,0,health
Doctors are FURIOUS after insiders reveal the star was secretly replaced months ago — and forward this to everyone you know.,0,entertainment
EXCLUSIVE: Whistleblower claims a leaked lab report shows the vaccine contains untested nanoparticles. This changes EVERYTHING.,0,health
"the coastal authority announced a habitat restoration project's first-year results, though final numbers have not been confirmed. Officials said further details would be shared once the review is complete.",1,environment
"In a statement, the product team outlined a plan to a security patch for a widely used library. The update, following a months-long inquiry, follows a routine internal process.",1,technology
"In a statement, the FDA released data showing a trial testing a generic blood pressure drug. The update, though final numbers have not been confirmed, follows a routine internal process.",1,health
"climate researchers confirmed a refinement to an existing climate model, though final numbers have not been confirmed. Officials said further details would be shared once the review is complete.",1,science
"In a statement, the university's robotics lab reported a security patch for a widely used library. The update, based on a review of public records, follows a routine internal process.",1,technology
"In a statement, the state legislature announced revisions to the zoning code. The update, though final numbers have not been confirmed, follows a routine internal process.",1,politics
"the European Parliament announced the timeline for the infrastructure bill, following a months-long inquiry. Officials said further details would be shared once the review is complete.",1,politics
"In a statement, tournament organizers confirmed a minor rule clarification. The update, as part of a routine quarterly update, follows a routine internal process.",1,sports
"In a statement, the wildlife agency announced a seasonal update on reservoir levels. The update, based on a review of public records, follows a routine internal process.",1,environment
"the wildlife agency confirmed a survey of local water quality, though final numbers have not been confirmed. Officials said further details would be shared once the review is complete.",1,environment
You won't believe what a secret vote was held at midnight to strip citizens of basic rights — and the truth they buried for years.,0,politics
"the athletic commission published findings indicating a roster move ahead of the deadline, though final numbers have not been confirmed. Officials said further details would be shared once the review is complete.",1,sports
"In a statement, climate researchers clarified a fossil found during routine excavation. The update, following a months-long inquiry, follows a routine internal process.",1,science
"What the mainstream media is HIDING: a leaked lab report shows the vaccine contains untested nanoparticles — and wake up, people!!!",0,health
Secret memo exposes how officials are hiding proof that the water supply is poisoned. Forward this to everyone you know.,0,environment
They don't want you to know that a leaked contract proves the show was scripted from the start. Forward this to everyone you know.,0,entertainment
"In a statement, the league office outlined a plan to a scheduling change for the playoffs. The update, based on a review of public records, follows a routine internal process.",1,sports
"Doctors are FURIOUS after a hidden clause shows the award was bought, not earned. Wake up, people!!!",0,entertainment
"In a statement, the stadium authority released data showing a roster move ahead of the deadline. The update, based on a review of public records, follows a routine internal process.",1,sports
"the artist's management outlined a plan to ticket sales for the festival, as part of a routine quarterly update. Officials said further details would be shared once the review is complete.",1,entertainment
EXCLUSIVE: Whistleblower claims a hidden clause will let the government seize private property overnight. The truth they buried for YEARS.,0,politics
"the athletic commission confirmed the venue for next season's opener, based on a review of public records. Officials said further details would be shared once the review is complete.",1,sports
EXCLUSIVE: Whistleblower claims a banned substance scandal is being covered up by officials — and mainstream media refuses to cover this.,0,sports
BREAKING: Leaked documents show players were secretly paid to throw the final match — and forward this to everyone you know.,0,sports
Doctors are FURIOUS after a common vitamin cures the disease doctors don't want you curing — and share before this gets deleted!!!,0,health
"In a statement, NASA's science directorate reported a fossil found during routine excavation. The update, based on a review of public records, follows a routine internal process.",1,science
"In a statement, the awards committee confirmed a schedule change for the ceremony. The update, based on a review of public records, follows a routine internal process.",1,entertainment
"In a statement, the FDA announced a new study on sleep and memory. The update, according to figures released Tuesday, follows a routine internal process.",1,health
Secret memo exposes how a hidden clause will let the government seize private property overnight. The truth they buried for YEARS.,0,politics
"the product team reported an update to the app's privacy settings, as part of a routine quarterly update. Officials said further details would be shared once the review is complete.",1,technology
Secret memo exposes how a banned substance scandal is being covered up by officials. The truth they buried for YEARS.,0,sports
SHOCKING: Insiders reveal engineers discovered the app can control devices without permission — and mainstream media refuses to cover this.,0,technology
BREAKING: Leaked documents show secret documents reveal the company dumped toxic waste for decades. Mainstream media refuses to cover this.,0,environment
Secret memo exposes how a leaked report shows the disaster was covered up for years. Forward this to everyone you know.,0,environment
They don't want you to know that secret documents reveal the company dumped toxic waste for decades — and forward this to everyone you know.,0,environment
You won't believe what insiders reveal the star was secretly replaced months ago — and the truth they buried for years.,0,entertainment
"the CDC confirmed a modest decline in flu cases this season, pending further review. Officials said further details would be shared once the review is complete.",1,health
"In a statement, marine biologists outlined a plan to a refinement to an existing climate model. The update, as part of a routine quarterly update, follows a routine internal process.",1,science
Secret memo exposes how your phone is secretly recording every word you say and selling it. The truth they buried for YEARS.,0,technology
"Secret memo exposes how officials are hiding proof that the water supply is poisoned. Wake up, people!!!",0,environment
SHOCKING: Insiders reveal a hidden algorithm is rigging the market against ordinary investors — and the truth they buried for years.,0,finance
What the mainstream media is HIDING: the championship was secretly fixed by league executives — and forward this to everyone you know.,0,sports
"What the mainstream media is HIDING: a hidden clause shows the award was bought, not earned. Mainstream media refuses to cover this.",0,entertainment
"the FDA said in a statement a new study on sleep and memory, though final numbers have not been confirmed. Officials said further details would be shared once the review is complete.",1,health
"festival organizers outlined a plan to the release date for a documentary, according to figures released Tuesday. Officials said further details would be shared once the review is complete.",1,entertainment
EXCLUSIVE: Whistleblower claims officials are hiding proof that the water supply is poisoned — and the truth they buried for years.,0,environment
"the ratings agency reported a routine audit of municipal bonds, based on a review of public records. Officials said further details would be shared once the review is complete.",1,finance
"In a statement, state environmental regulators released data showing an update to the drought monitor. The update, pending further review, follows a routine internal process.",1,environment
Doctors are FURIOUS after the championship was secretly fixed by league executives — and the truth they buried for years.,0,sports
"a peer-reviewed study in The Lancet said in a statement a trial testing a generic blood pressure drug, though final numbers have not been confirmed. Officials said further details would be shared once the review is complete.",1,health
"the CDC confirmed a new study on sleep and memory, based on a review of public records. Officials said further details would be shared once the review is complete.",1,health
"the players' union announced a scheduling change for the playoffs, pending further review. Officials said further details would be shared once the review is complete.",1,sports
"the team's coaching staff released data showing the venue for next season's opener, as part of a routine quarterly update. Officials said further details would be shared once the review is complete.",1,sports
What the mainstream media is HIDING: officials are hiding proof that the water supply is poisoned — and mainstream media refuses to cover this.,0,environment
You won't believe what a hidden switch lets the company shut down your device remotely. Forward this to everyone you know.,0,technology
"In a statement, the World Health Organization outlined a plan to a trial testing a generic blood pressure drug. The update, based on a review of public records, follows a routine internal process.",1,health
Secret memo exposes how players were secretly paid to throw the final match. Share before this gets DELETED!!!,0,sports
"You won't believe what leaked data reveals the entire field has been covering up the truth. Wake up, people!!!",0,science
"In a statement, a team at the national observatory published findings indicating a fossil found during routine excavation. The update, following a months-long inquiry, follows a routine internal process.",1,science
"Doctors are FURIOUS after insiders reveal the star was secretly replaced months ago. Wake up, people!!!",0,entertainment
What the mainstream media is HIDING: a banned substance scandal is being covered up by officials. This changes EVERYTHING.,0,sports
Secret memo exposes how a secret vote was held at midnight to strip citizens of basic rights — and forward this to everyone you know.,0,politics
"In a statement, local hospital administrators said in a statement changes to hospital staffing ratios. The update, according to figures released Tuesday, follows a routine internal process.",1,health
What the mainstream media is HIDING: scientists secretly proved the theory is a complete hoax. Share before this gets DELETED!!!,0,science
"In a statement, the coastal authority released data showing a new permit for a recycling facility. The update, though final numbers have not been confirmed, follows a routine internal process.",1,environment
"independent security researchers released data showing a security patch for a widely used library, following a months-long inquiry. Officials said further details would be shared once the review is complete.",1,technology
What the mainstream media is HIDING: hospitals are hiding a miracle treatment to protect profits — and forward this to everyone you know.,0,health
"In a statement, the treasury department announced an update to lending standards. The update, though final numbers have not been confirmed, follows a routine internal process.",1,finance
EXCLUSIVE: Whistleblower claims a leaked contract proves the show was scripted from the start — and forward this to everyone you know.,0,entertainment
SHOCKING: Insiders reveal secret documents reveal the company dumped toxic waste for decades — and forward this to everyone you know.,0,environment
You won't believe what banks are secretly planning to freeze all accounts next week — and share before this gets deleted!!!,0,finance
Secret memo exposes how players were secretly paid to throw the final match. This changes EVERYTHING.,0,sports
"In a statement, the ratings agency confirmed a routine audit of municipal bonds. The update, based on a review of public records, follows a routine internal process.",1,finance
They don't want you to know that engineers discovered the app can control devices without permission — and forward this to everyone you know.,0,technology
"In a statement, the state legislature reported the timeline for the infrastructure bill. The update, as part of a routine quarterly update, follows a routine internal process.",1,politics
"In a statement, the treasury department reported an upward revision to GDP estimates. The update, based on a review of public records, follows a routine internal process.",1,finance
BREAKING: Leaked documents show a hidden algorithm is rigging the market against ordinary investors — and this changes everything.,0,finance
"In a statement, the wildlife agency said in a statement an update to the drought monitor. The update, pending further review, follows a routine internal process.",1,environment
SHOCKING: Insiders reveal hospitals are hiding a miracle treatment to protect profits. This changes EVERYTHING.,0,health
What the mainstream media is HIDING: leaked data reveals the entire field has been covering up the truth. This changes EVERYTHING.,0,science
"SHOCKING: Insiders reveal the championship was secretly fixed by league executives — and wake up, people!!!",0,sports
"the ratings agency released data showing an upward revision to GDP estimates, based on a review of public records. Officials said further details would be shared once the review is complete.",1,finance
What the mainstream media is HIDING: insiders reveal the star was secretly replaced months ago. The truth they buried for YEARS.,0,entertainment
EXCLUSIVE: Whistleblower claims officials are hiding proof that the water supply is poisoned — and forward this to everyone you know.,0,environment
"the CDC clarified updated guidance on booster timing, though final numbers have not been confirmed. Officials said further details would be shared once the review is complete.",1,health
BREAKING: Leaked documents show leaked data reveals the entire field has been covering up the truth — and forward this to everyone you know.,0,science
"SHOCKING: Insiders reveal a common vitamin cures the disease doctors don't want you curing. Wake up, people!!!",0,health
BREAKING: Leaked documents show officials are hiding proof that the water supply is poisoned. Mainstream media refuses to cover this.,0,environment
Doctors are FURIOUS after hospitals are hiding a miracle treatment to protect profits. This changes EVERYTHING.,0,health
EXCLUSIVE: Whistleblower claims players were secretly paid to throw the final match — and the truth they buried for years.,0,sports
"the treasury department said in a statement a modest rise in consumer confidence, as part of a routine quarterly update. Officials said further details would be shared once the review is complete.",1,finance
Secret memo exposes how a suppressed study shows the phenomenon was faked in a lab — and mainstream media refuses to cover this.,0,science
Secret memo exposes how a hidden switch lets the company shut down your device remotely. Forward this to everyone you know.,0,technology
"In a statement, the Department of Labor released data showing revisions to the zoning code. The update, though final numbers have not been confirmed, follows a routine internal process.",1,politics
"the CDC announced a modest decline in flu cases this season, pending further review. Officials said further details would be shared once the review is complete.",1,health
"In a statement, the team's coaching staff said in a statement a minor rule clarification. The update, as part of a routine quarterly update, follows a routine internal process.",1,sports
"In a statement, the FDA outlined a plan to updated guidance on booster timing. The update, based on a review of public records, follows a routine internal process.",1,health
SHOCKING: Insiders reveal a leaked lab report shows the vaccine contains untested nanoparticles — and share before this gets deleted!!!,0,health
What the mainstream media is HIDING: a hidden switch lets the company shut down your device remotely. This changes EVERYTHING.,0,technology
"In a statement, conservation researchers reported an update to the drought monitor. The update, as part of a routine quarterly update, follows a routine internal process.",1,environment
EXCLUSIVE: Whistleblower claims insiders reveal the star was secretly replaced months ago. Mainstream media refuses to cover this.,0,entertainment
"In a statement, the pension fund's trustees published findings indicating a quarter-point change to the benchmark rate. The update, following a months-long inquiry, follows a routine internal process.",1,finance
Doctors are FURIOUS after officials are hiding proof that the water supply is poisoned. This changes EVERYTHING.,0,environment
BREAKING: Leaked documents show officials are hiding proof that the water supply is poisoned. The truth they buried for YEARS.,0,environment
"local hospital administrators announced a modest decline in flu cases this season, following a months-long inquiry. Officials said further details would be shared once the review is complete.",1,health
What the mainstream media is HIDING: officials are hiding proof that the water supply is poisoned. Share before this gets DELETED!!!,0,environment
"the players' union said in a statement a roster move ahead of the deadline, as part of a routine quarterly update. Officials said further details would be shared once the review is complete.",1,sports
They don't want you to know that insiders admit the currency will collapse within days. Forward this to everyone you know.,0,finance
"In a statement, the coastal authority announced an update to the drought monitor. The update, according to figures released Tuesday, follows a routine internal process.",1,environment
What the mainstream media is HIDING: hospitals are hiding a miracle treatment to protect profits. Mainstream media refuses to cover this.,0,health
"In a statement, the Department of Labor published findings indicating changes to the local permitting process. The update, though final numbers have not been confirmed, follows a routine internal process.",1,politics
"What the mainstream media is HIDING: a hidden algorithm is rigging the market against ordinary investors. Wake up, people!!!",0,finance
"independent security researchers published findings indicating quarterly earnings for the cloud division, following a months-long inquiry. Officials said further details would be shared once the review is complete.",1,technology
Secret memo exposes how insiders admit the currency will collapse within days. Mainstream media refuses to cover this.,0,finance
"state environmental regulators released data showing an update to the drought monitor, pending further review. Officials said further details would be shared once the review is complete.",1,environment
BREAKING: Leaked documents show the championship was secretly fixed by league executives. Share before this gets DELETED!!!,0,sports
"What the mainstream media is HIDING: officials are quietly funneling millions to an unnamed shell company. Wake up, people!!!",0,politics
They don't want you to know that a leaked contract proves the show was scripted from the start. The truth they buried for YEARS.,0,entertainment
"a university physics department reported a new measurement of a distant galaxy's rotation, based on a review of public records. Officials said further details would be shared once the review is complete.",1,science
"engineers at the company reported an update to the app's privacy settings, as part of a routine quarterly update. Officials said further details would be shared once the review is complete.",1,technology
"In a statement, festival organizers announced ticket sales for the festival. The update, as part of a routine quarterly update, follows a routine internal process.",1,entertainment
"In a statement, the ratings agency confirmed a quarter-point change to the benchmark rate. The update, according to figures released Tuesday, follows a routine internal process.",1,finance
"the Senate Finance Committee confirmed changes to the local permitting process, based on a review of public records. Officials said further details would be shared once the review is complete.",1,politics
They don't want you to know that officials are hiding proof that the water supply is poisoned — and the truth they buried for years.,0,environment
"In a statement, Johns Hopkins researchers released data showing a trial testing a generic blood pressure drug. The update, though final numbers have not been confirmed, follows a routine internal process.",1,health
"tournament organizers outlined a plan to a roster move ahead of the deadline, pending further review. Officials said further details would be shared once the review is complete.",1,sports
EXCLUSIVE: Whistleblower claims engineers discovered the app can control devices without permission — and the truth they buried for years.,0,technology
What the mainstream media is HIDING: a leaked lab report shows the vaccine contains untested nanoparticles. Forward this to everyone you know.,0,health
"In a statement, the product team confirmed quarterly earnings for the cloud division. The update, according to figures released Tuesday, follows a routine internal process.",1,technology
"In a statement, the studio's publicist outlined a plan to a schedule change for the ceremony. The update, based on a review of public records, follows a routine internal process.",1,entertainment
"In a statement, the network outlined a plan to a schedule change for the ceremony. The update, pending further review, follows a routine internal process.",1,entertainment
"In a statement, the artist's management said in a statement a soundtrack credit correction. The update, according to figures released Tuesday, follows a routine internal process.",1,entertainment
"In a statement, the pension fund's trustees outlined a plan to an upward revision to GDP estimates. The update, as part of a routine quarterly update, follows a routine internal process.",1,finance
Secret memo exposes how a leaked contract proves the show was scripted from the start. Forward this to everyone you know.,0,entertainment
"In a statement, the World Health Organization said in a statement a trial testing a generic blood pressure drug. The update, pending further review, follows a routine internal process.",1,health
What the mainstream media is HIDING: your phone is secretly recording every word you say and selling it. Forward this to everyone you know.,0,technology
Secret memo exposes how secret documents reveal the company dumped toxic waste for decades. Forward this to everyone you know.,0,environment
"What the mainstream media is HIDING: scientists secretly proved the theory is a complete hoax. Wake up, people!!!",0,science
"In a statement, the exchange's regulators outlined a plan to a quarter-point change to the benchmark rate. The update, following a months-long inquiry, follows a routine internal process.",1,finance
"EXCLUSIVE: Whistleblower claims a suppressed study shows the phenomenon was faked in a lab. Wake up, people!!!",0,science
"In a statement, the production company clarified a cast addition for the upcoming season. The update, based on a review of public records, follows a routine internal process.",1,entertainment
"a team at the national observatory clarified a refinement to an existing climate model, though final numbers have not been confirmed. Officials said further details would be shared once the review is complete.",1,science
You won't believe what a banned substance scandal is being covered up by officials. Forward this to everyone you know.,0,sports
"In a statement, the pension fund's trustees confirmed a routine audit of municipal bonds. The update, following a months-long inquiry, follows a routine internal process.",1,finance
"In a statement, the European Parliament clarified revisions to the zoning code. The update, though final numbers have not been confirmed, follows a routine internal process.",1,politics
"In a statement, the studio's publicist announced the release date for a documentary. The update, though final numbers have not been confirmed, follows a routine internal process.",1,entertainment
"In a statement, the team's coaching staff outlined a plan to a scheduling change for the playoffs. The update, based on a review of public records, follows a routine internal process.",1,sports
"Johns Hopkins researchers confirmed a modest decline in flu cases this season, as part of a routine quarterly update. Officials said further details would be shared once the review is complete.",1,health
You won't believe what insiders admit the currency will collapse within days — and share before this gets deleted!!!,0,finance
"the open-source maintainers announced a security patch for a widely used library, pending further review. Officials said further details would be shared once the review is complete.",1,technology
Secret memo exposes how a hidden switch lets the company shut down your device remotely — and the truth they buried for years.,0,technology
"the Department of Labor outlined a plan to changes to the local permitting process, pending further review. Officials said further details would be shared once the review is complete.",1,politics
What the mainstream media is HIDING: officials are quietly funneling millions to an unnamed shell company. Mainstream media refuses to cover this.,0,politics
"They don't want you to know that a hidden clause shows the award was bought, not earned. Share before this gets DELETED!!!",0,entertainment
"a peer-reviewed study in The Lancet confirmed a modest decline in flu cases this season, following a months-long inquiry. Officials said further details would be shared once the review is complete.",1,health
"the open-source maintainers said in a statement a security patch for a widely used library, based on a review of public records. Officials said further details would be shared once the review is complete.",1,technology
"What the mainstream media is HIDING: engineers discovered the app can control devices without permission. Wake up, people!!!",0,technology
BREAKING: Leaked documents show a leaked lab report shows the vaccine contains untested nanoparticles. Forward this to everyone you know.,0,health
"In a statement, the network outlined a plan to ticket sales for the festival. The update, following a months-long inquiry, follows a routine internal process.",1,entertainment
"In a statement, the Department of Labor clarified the timeline for the infrastructure bill. The update, following a months-long inquiry, follows a routine internal process.",1,politics
"In a statement, conservation researchers published findings indicating a new permit for a recycling facility. The update, though final numbers have not been confirmed, follows a routine internal process.",1,environment
"Johns Hopkins researchers released data showing a new study on sleep and memory, following a months-long inquiry. Officials said further details would be shared once the review is complete.",1,health
"What the mainstream media is HIDING: a hidden switch lets the company shut down your device remotely — and wake up, people!!!",0,technology
Secret memo exposes how secret documents reveal the company dumped toxic waste for decades. This changes EVERYTHING.,0,environment
"the athletic commission confirmed a scheduling change for the playoffs, though final numbers have not been confirmed. Officials said further details would be shared once the review is complete.",1,sports
BREAKING: Leaked documents show leaked data reveals the entire field has been covering up the truth. Share before this gets DELETED!!!,0,science
Secret memo exposes how secret documents reveal the company dumped toxic waste for decades. Share before this gets DELETED!!!,0,environment
